group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,reference_group,direction
siPRRX1/mmMYOD1_med_G1S,TSEN2,2.6631203,1.0754603,0.007741975169655085,0.02764535342661546,0.11401425178147269,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,SEC23IP,2.6628716,0.32749403,0.007747695511219108,0.02766184893519661,0.3159144893111639,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,NADSYN1,2.6592956,0.46469238,0.007830425223743146,0.027949279122474115,0.2042755344418052,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,MED14,2.6582875,0.6458707,0.007853885390955698,0.0280273509268058,0.1543942992874109,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,ENSG00000286145,2.6582599,4.8824463,0.007854529020477811,0.0280273509268058,0.060570071258907364,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,MRFAP1L1,2.6581771,0.3391411,0.007856460192553998,0.028030261496307947,0.3147268408551069,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,C10orf88,2.6536758,0.7166581,0.007962028723346008,0.02840287588873346,0.14845605700712589,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,ENSG00000280878,2.653524,24.953718,0.007965612903090889,0.028407595945056464,0.05819477434679335,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,ENSG00000287765,2.653524,24.887611,0.007965612903090889,0.028407595945056464,0.05819477434679335,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,CYREN,2.6534686,0.5442063,0.007966916599372318,0.028408213468004484,0.19833729216152018,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,ELOC,2.6527507,0.0887274,0.007983882047510767,0.028464669138741565,0.9572446555819477,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,DZIP1,2.6505966,0.30774444,0.008034972669479341,0.028626512581692454,0.35985748218527314,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,DLEU7,2.6502652,5.7923894,0.008042858693416692,0.028650546250095638,0.05938242280285035,Control_G1S,up
